//RAGE 3.5 Graphics Preset Style
//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
30 30 60	255 254 254	255 255 255	0 0 0	22 34 75  255 255 250     254 128 1	6.00 1.00 1.00    52 74 76	950.00 -40.00 1.00     30 40 69	30 40 69	30 30 30 240	2 0 0 0	255 122 132 130	255 0 0 0
//5AM
30 30 60	255 254 254	255 255 255	0 0 0	22 34 75  255 255 250     254 128 1	6.00 1.00 1.00    52 74 76	950.00 -40.00 1.00     30 40 69	30 40 69	30 30 30 240	2 0 0 0	255 122 132 130	255 0 0 0
//6AM
165 104 23	176 176 176	255 255 255	230 91 4	254 195 64	255 255 250     254 128 1	6.00 1.00 1.00    255 255 255	950.00 450.00 0.80      222 143 111	222 143 111	30 40 80 240	2 0 0 0    255 110 100 90	255 0 0 0.4
//7AM
62 62 62	255 254 254	255 255 255	0 51 75	99 139 173 255 255 250     254 128 1	6.00 1.00 1.00    255 255 255	950.00 450.00 0.50    222 143 111	222 143 111	100 100 140 240	2 0 0 0   255 110 100 90	255 0 0 0.4
//Midday
54 54 54	255 254 254 	255 255 255	0 51 75	99 139 173	255 255 250     254 128 1	6.00 0 1.00    255 255 255	950.00 450.00 0.00    251 251 255	251 251 255	100 100 140 240	2 0 0 0 	255 110 100 90	255 0 0 0.4
//7PM
54 54 54	255 254 254	255 255 255	0 51 75	99 139 173	255 255 250     254 128 1	6.00 1.00 1.00   255 148 0	950.00  450.00 0.80   255 147 100	255 147 100	120 100 110 240	2 0 0 0 	255 110 100 90	255 0 0 0.4
//8PM
77 33 7	176 176 176	255 255 255	0 51 75	245 158 87	255 255 250    254 128 1	6.00 1.00 1.00    255 255 255	950.00 450.00 1.00   255 147 100   255 147 100	30 40 80 240	2 0 0 0	255 122 132 130	255 0 0 0.4
//10PM
30 30 60	255 255 255	255 255 255	0 0 0	22 34 75	23 21 24	255 255 250    254 128 1	6.00 1.00 1.00    255 255 255	950.00 -40.00 1.00    30 40 69	30 40 69	30 40 80 240	2 0 0 0	255 122 132 130	255 0 0 0.4
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
30 30 60	255 254 254	255 255 255	0 0 0	22 34 75  255 255 250     254 128 1	6.00 1.00 1.00    52 74 76	950.00 -40.00 1.00     30 40 69	30 40 69	30 30 30 240	2 0 0 0	255 122 132 130	255 0 0 0
//5AM
30 30 60	255 254 254	255 255 255	0 0 0	22 34 75  255 255 250     254 128 1	6.00 1.00 1.00    52 74 76	950.00 -40.00 1.00     30 40 69	30 40 69	30 30 30 240	2 0 0 0	255 122 132 130	255 0 0 0
//6AM
165 104 23	176 176 176	255 255 255	230 91 4	254 195 64	255 255 250     254 128 1	6.00 1.00 1.00    255 255 255	950.00 450.00 0.80      222 143 111	222 143 111	30 40 80 240	2 0 0 0    255 110 100 90	255 0 0 0.4
//7AM
